t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -43.0256, -65.4243, 4.62085e-05, 3.40566e-05, 0.880403, -0.474226, 19.93, 0, 0, 3.72191e-05, -0, -0
0, 0, -43.3574, -65.9278, 4.52437e-05, 3.34687e-05, 0.880402, -0.474227, 90.0000, 0, 0, 3.68177e-05, -0, -0
0, 0, -43.8019, -66.6023, 4.39379e-05, 3.27663e-05, 0.880402, -0.474229, 90.0000, 0, 0, 4.99364e-05, -0, -0
0, 0, -44.1368, -67.1107, 4.3001e-05, 3.21123e-05, 0.880401, -0.47423, 90.0000, 0, 0, 3.51252e-05, -0, -0
0, 0, -44.5857, -67.7919, 4.16599e-05, 3.13874e-05, 0.8804, -0.474231, 90.0000, 0, 0, 3.85264e-05, -0, -0
0, 0, -44.924, -68.3053, 4.06578e-05, 3.07698e-05, 0.8804, -0.474233, 90.0000, 0, 0, 4.7948e-05, -0, -0
0, 0, -45.2637, -68.8208, 3.96241e-05, 3.02145e-05, 0.880399, -0.474234, 90.0000, 0, 0, 3.79926e-05, -0, -0
0, 0, -45.7176, -69.5123, -4.45731e-05, 0.000181123, 0.880139, -0.474717, 90.0000, 0, 0, 0.0130039, 0.00792858, -0
0, 0, -46.0571, -70.035, -0.000125017, 0.000323529, 0.879371, -0.476138, 90.0000, 0, 0, 0.00378647, 0.0407799, -0
0, 0, -46.3975, -70.5603, -0.000106243, 0.000288504, 0.878583, -0.477589, 90.0000, 0, 0, -0.00299317, 0.0407799, -0
0, 0, -46.8538, -71.2641, -8.97646e-05, 0.000258191, 0.877794, -0.479038, 90.0000, 0, 0, -0.000769044, -0, -0
0, 0, -47.1974, -71.7949, -8.83844e-05, 0.000255212, 0.877351, -0.47985, 90.0000, 0, 0, 3.15833e-05, -0, -0
0, 0, -47.542, -72.3281, -9.13516e-05, 0.000259674, 0.877003, -0.480484, 90.0000, 0, 0, 0.000404157, -0, -0
0, 0, -48.003, -73.043, -9.77013e-05, 0.000269188, 0.876653, -0.481122, 90.0000, 0, 0, 0.00051215, -0, -0
0, 0, -48.3499, -73.5823, -0.000102211, 0.000275556, 0.876455, -0.481485, 90.0000, 0, 0, 0.000428275, -0, -0
0, 0, -48.6976, -74.1242, -0.000105549, 0.000279574, 0.876297, -0.481772, 90.0000, 0, 0, 0.000262105, -0, -0
0, 0, -49.1628, -74.8508, -0.000107666, 0.000280518, 0.876134, -0.482067, 90.0000, 0, 0, 1.83844e-05, -0, -0
0, 0, -49.5129, -75.3987, -0.000107646, 0.00027447, 0.87604, -0.482239, 90.0000, 0, 0, -0.000312631, -0, -0
0, 0, -49.9813, -76.1333, -0.000115946, 0.000261235, 0.87594, -0.482419, 90.0000, 0, 0, 6.83795e-06, -0, -0
0, 0, -50.3339, -76.6873, -0.000122495, 0.000252638, 0.875881, -0.482527, 90.0000, 0, 0, 0.000240298, -0, -0
0, 0, -50.6877, -77.2437, -0.000127563, 0.000247242, 0.87583, -0.482619, 90.0000, 0, 0, 8.59901e-05, -0, -0
0, 0, -51.1614, -77.9896, -0.000128284, 0.00023791, 0.875772, -0.482724, 90.0000, 0, 0, -0.000364778, -0, -0
0, 0, -51.5181, -78.5519, -0.000121132, 0.000234221, 0.875735, -0.482793, 90.0000, 0, 0, -0.000838078, -0, -0
0, 0, -51.876, -79.1167, -0.000109926, 0.0002287, 0.875701, -0.482854, 90.0000, 0, 0, -0.000436621, -0, -0
